CustomerID,Recency,MonetaryValue,Country,CohortDay,Frequency,R,F,M,Cluster
12346.0,325,77183.6,United Kingdom,2011-01-18,1,1,1,5,1
12747.0,2,4196.01,United Kingdom,2010-12-05,11,5,5,5,3
12748.0,0,33053.19,United Kingdom,2010-12-01,210,5,5,5,3
12749.0,3,4090.88,United Kingdom,2011-05-10,5,5,4,5,3
12820.0,3,942.34,United Kingdom,2011-01-17,4,5,4,4,0
12821.0,214,92.72,United Kingdom,2011-05-09,1,1,1,1,2
12822.0,70,948.88,United Kingdom,2011-09-13,2,3,2,4,1
12823.0,74,1759.5,United Kingdom,2011-02-16,5,2,4,4,1
12824.0,59,397.12,United Kingdom,2011-10-11,1,3,1,2,2
12826.0,2,1474.72,United Kingdom,2010-12-09,7,5,5,4,3
12827.0,5,430.15000000000003,United Kingdom,2011-10-26,3,5,3,2,0
12828.0,2,1018.71,United Kingdom,2011-08-01,6,5,4,4,3
12829.0,336,293.0,United Kingdom,2010-12-14,2,1,2,2,2
12830.0,37,6814.64,United Kingdom,2011-06-21,6,3,4,5,1
12831.0,262,215.05,United Kingdom,2011-03-22,1,1,1,1,2
12832.0,32,383.03,United Kingdom,2011-09-02,2,4,2,2,0
12833.0,145,417.38,United Kingdom,2011-07-17,1,2,1,2,2
12834.0,282,312.38,United Kingdom,2011-03-02,1,1,1,2,2
12836.0,59,2610.36,United Kingdom,2011-02-01,5,3,4,5,1
12837.0,173,134.1,United Kingdom,2011-06-19,1,2,1,1,2
12838.0,33,671.95,United Kingdom,2010-12-01,2,3,2,3,0
12839.0,2,5591.42,United Kingdom,2010-12-07,14,5,5,5,3
12840.0,143,2726.77,United Kingdom,2011-04-27,4,2,4,5,1
12841.0,4,3991.58,United Kingdom,2010-12-03,24,5,5,5,3
12842.0,70,1118.99,United Kingdom,2011-02-04,2,3,2,4,1
12843.0,65,1702.26,United Kingdom,2011-03-20,8,3,5,4,1
12844.0,29,325.96000000000004,United Kingdom,2011-08-01,2,4,2,2,0
12845.0,267,354.09,United Kingdom,2011-02-22,4,1,4,2,2
12847.0,22,843.64,United Kingdom,2011-11-17,1,4,1,3,0
12849.0,31,1010.29,United Kingdom,2011-03-16,2,4,2,4,1
12851.0,96,131.81,United Kingdom,2011-09-04,1,2,1,1,2
12852.0,294,311.55,United Kingdom,2011-02-18,1,1,1,2,2
12853.0,134,1957.1000000000001,United Kingdom,2011-01-28,6,2,4,5,1
12854.0,78,1316.25,United Kingdom,2011-01-25,3,2,3,4,1
12855.0,372,38.1,United Kingdom,2010-12-02,1,1,1,1,2
12856.0,7,2170.78,United Kingdom,2011-10-07,6,5,4,5,3
12857.0,210,1106.4,United Kingdom,2011-02-10,2,1,2,4,1
12863.0,52,521.2,United Kingdom,2011-10-18,1,3,1,3,2
12864.0,138,147.12,United Kingdom,2011-07-24,1,2,1,1,2
12867.0,26,4009.34,United Kingdom,2010-12-14,7,4,5,5,3
12868.0,185,1607.0600000000002,United Kingdom,2010-12-01,6,1,5,4,1
12871.0,84,380.64,United Kingdom,2011-05-16,2,2,2,2,2
